,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,accuracy,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support,experiment,feats
31,0.9758389261744966,0.6427939876215738,0.7750533049040511,1131,0.12742980561555076,0.7662337662337663,0.21851851851851853,77,0.6506622516556292,0.5516343658950237,0.70451387692767,0.49678591171128483,1208,0.921759867993173,0.6506622516556292,0.7395788193480197,1208,experiment_3__model:MultinomialNB__context:True__label_config:binary,experiment_3__model:MultinomialNB__context:True__label_config:binary
32,0.9758389261744966,0.6627164995442115,0.7893593919652552,1097,0.20086393088552915,0.8378378378378378,0.32404181184668984,111,0.6788079470198676,0.5883514285300129,0.7502771686910247,0.5567006019059725,1208,0.9046284754484409,0.6788079470198676,0.7466025613417777,1208,experiment_3__model:SVM__context:True__label_config:binary,experiment_3__model:SVM__context:True__label_config:binary
33,0.8093959731543624,0.7398773006134969,0.7730769230769229,815,0.5421166306695464,0.638676844783715,0.5864485981308412,393,0.706953642384106,0.6757563019119543,0.6892770726986059,0.6797627606038821,1208,0.7224416837532592,0.706953642384106,0.7123609200108549,1208,experiment_3__model:SGDClassifier__context:True__label_config:binary,experiment_3__model:SGDClassifier__context:True__label_config:binary
34,0.9234899328859061,0.6886886886886887,0.7889908256880734,999,0.3282937365010799,0.7272727272727273,0.4523809523809524,209,0.695364238410596,0.625891834693493,0.707980707980708,0.6206858890345129,1208,0.8205131075180015,0.695364238410596,0.7307528591970235,1208,experiment_3__model:RandomForest__context:True__label_config:binary,experiment_3__model:RandomForest__context:True__label_config:binary
35,0.8953020134228188,0.7460850111856824,0.8139109212934716,894,0.509719222462203,0.7515923566878981,0.6074646074646074,314,0.7475165562913907,0.7025106179425109,0.7488386839367902,0.7106877643790395,1208,0.7950760230572284,0.7475165562913907,0.7602485516392801,1208,experiment_3__model:XGB__context:True__label_config:binary,experiment_3__model:XGB__context:True__label_config:binary
36,0.9114093959731544,0.758659217877095,0.828048780487805,895,0.5334773218142549,0.7891373801916933,0.63659793814433,313,0.7665562913907285,0.7224433588937047,0.7738982990343941,0.7323233593160674,1208,0.8134849429833071,0.7665562913907285,0.7784427261388748,1208,experiment_4__model:LogisticRegression__context:False__label_config:binary,experiment_4__model:LogisticRegression__context:False__label_config:binary
37,0.8966442953020134,0.7276688453159041,0.8033674082982561,918,0.46004319654427644,0.7344827586206897,0.5657370517928287,290,0.7293046357615894,0.678343745923145,0.7310758019682969,0.6845522300455424,1208,0.7918311176201063,0.7293046357615894,0.7463203856272512,1208,experiment_4__model:MultinomialNB__context:False__label_config:binary,experiment_4__model:MultinomialNB__context:False__label_config:binary
38,0.8738255033557047,0.7552204176334106,0.8102053515868077,862,0.5442764578833693,0.7283236994219653,0.622991347342398,346,0.7475165562913907,0.7090509806195371,0.7417720585276879,0.7165983494646029,1208,0.7794347999339928,0.7475165562913907,0.7565827973909752,1208,experiment_4__model:SVM__context:False__label_config:binary,experiment_4__model:SVM__context:False__label_config:binary
39,0.810738255033557,0.7813712807244502,0.7957839262187089,773,0.6349892008639308,0.6758620689655173,0.6547884187082406,435,0.7433774834437086,0.722863727948744,0.7286166748449837,0.7252861724634747,1208,0.7474511370171767,0.7433774834437086,0.7450115373386975,1208,experiment_4__model:SGDClassifier__context:False__label_config:binary,experiment_4__model:SGDClassifier__context:False__label_config:binary
40,0.9181208053691275,0.7386609071274298,0.8186714542190305,926,0.4773218142548596,0.7836879432624113,0.5932885906040268,282,0.7491721854304636,0.6977213098119935,0.7611744251949206,0.7059800224115287,1208,0.8152190541321875,0.7491721854304636,0.7660572426797664,1208,experiment_4__model:RandomForest__context:False__label_config:binary,experiment_4__model:RandomForest__context:False__label_config:binary
41,0.9006711409395973,0.7472160356347439,0.8167985392574559,898,0.509719222462203,0.7612903225806451,0.610608020698577,310,0.7508278145695364,0.7051951817009001,0.7542531791076945,0.7137032799780165,1208,0.8003440757674183,0.7508278145695364,0.7638854094948296,1208,experiment_4__model:XGB__context:False__label_config:binary,experiment_4__model:XGB__context:False__label_config:binary
42,0.963758389261745,0.6735459662288931,0.792932081722805,1066,0.24838012958963282,0.8098591549295775,0.3801652892561983,142,0.6895695364238411,0.6060692594256889,0.7417025605792353,0.5865486854895017,1208,0.8796659117175067,0.6895695364238411,0.7444114819461013,1208,experiment_4__model:LogisticRegression__context:True__label_config:binary,experiment_4__model:LogisticRegression__context:True__label_config:binary
43,0.9812080536912752,0.6378708551483421,0.7731359069275515,1146,0.10367170626349892,0.7741935483870968,0.18285714285714286,62,0.6448675496688742,0.5424398799773871,0.7060322017677194,0.4779965248923472,1208,0.9361689365219689,0.6448675496688742,0.7428401425464545,1208,experiment_4__model:MultinomialNB__context:True__label_config:binary,experiment_4__model:MultinomialNB__context:True__label_config:binary
44,0.9677852348993289,0.6620752984389348,0.7862595419847329,1089,0.20518358531317496,0.7983193277310925,0.3264604810996564,119,0.6754966887417219,0.586484410106252,0.7301973130850137,0.5563600115421947,1208,0.8926613969020174,0.6754966887417219,0.7409647669472129,1208,experiment_4__model:SVM__context:True__label_config:binary,experiment_4__model:SVM__context:True__label_config:binary
45,0.8067114093959732,0.746583850931677,0.775483870967742,805,0.5593952483801296,0.6426799007444168,0.5981524249422633,403,0.7119205298013245,0.6830533288880514,0.694631875838047,0.6868181479550026,1208,0.7242044450835684,0.7119205298013245,0.71632445644103,1208,experiment_4__model:SGDClassifier__context:True__label_config:binary,experiment_4__model:SGDClassifier__context:True__label_config:binary
46,0.934228187919463,0.6863905325443787,0.7913587265491755,1014,0.31317494600431967,0.7474226804123711,0.4414003044140031,194,0.6961920529801324,0.6237015669618914,0.7169066064783749,0.6163795154815893,1208,0.8344895050291172,0.6961920529801324,0.7351567945175336,1208,experiment_4__model:RandomForest__context:True__label_config:binary,experiment_4__model:RandomForest__context:True__label_config:binary
47,0.8912751677852349,0.7562642369020501,0.818237831176833,878,0.5377969762419006,0.7545454545454545,0.6279949558638082,330,0.7557947019867549,0.7145360720135677,0.7554048457237523,0.7231163935203206,1208,0.7947124167841585,0.7557947019867549,0.7662675092784074,1208,experiment_4__model:XGB__context:True__label_config:binary,experiment_4__model:XGB__context:True__label_config:binary
48,0.851006711409396,0.7188208616780045,0.7793484941610326,882,0.46436285097192226,0.6595092024539877,0.5449936628643853,326,0.7028145695364238,0.6576847811906591,0.6891650320659961,0.662171078512709,1208,0.7466640801986208,0.7028145695364238,0.7161037300859441,1208,experiment_5__model:LogisticRegression__context:False__label_config:binary,experiment_5__model:LogisticRegression__context:False__label_config:binary
49,0.851006711409396,0.7321016166281755,0.7870887647423961,866,0.49892008639308855,0.6754385964912281,0.5739130434782609,342,0.7160596026490066,0.6749633989012422,0.7037701065597017,0.6805009041103285,1208,0.7513265576382228,0.7160596026490066,0.7267360357090068,1208,experiment_5__model:SVM__context:False__label_config:binary,experiment_5__model:SVM__context:False__label_config:binary
50,0.8550335570469799,0.7181510710259301,0.7806372549019608,887,0.46004319654427644,0.6635514018691588,0.5433673469387755,321,0.7036423841059603,0.6575383767956282,0.6908512364475445,0.6620023009203682,1208,0.750073370191543,0.7036423841059603,0.7175878836633992,1208,experiment_5__model:SGDClassifier__context:False__label_config:binary,experiment_5__model:SGDClassifier__context:False__label_config:binary
